tweet_id,name,party,state,text,date
t_1420022654623526921,Claudia Tenney,R,NY,"thankfully, still time voice heard! share thoughts atf’s rule turns vetera…","7/27/2021, 7:05:58 AM"
t_1420022652731805707,Claudia Tenney,R,NY,@atfhq rule stabilizing braces unfairly targets disabled veterans rely brace accurate sh…,"7/27/2021, 7:05:57 AM"
t_1420022639540805634,Darren Soto,D,FL,encourage americans watch #january6th commission hearing today. brave @capitolpolice officers protec…,"7/27/2021, 7:05:54 AM"
t_1420022497882292225,Carolyn Maloney,D,NY,staff set right outside residents council 275 jackson st!,"7/27/2021, 7:05:20 AM"
t_1420022463417700358,Bobby Rush,D,IL,"rt @senatordurbin: country needs new civilian conservation corps 21st century. put americans work, preserve pr…","7/27/2021, 7:05:12 AM"
t_1420022327572578326,Kevin McCarthy,R,CA,"rt @senrickscott: time @potus stand freedom cuba. i, @gopleader, @marcorubio, @mariodb, @repcarlos, @maelvirasalaza…","7/27/2021, 7:04:40 AM"
t_1420022325043400713,Roger Williams,R,TX,will join colleagues solidarity cuban people fight brutal communist regime th…,"7/27/2021, 7:04:39 AM"
t_1420022130603876352,Rick Scott,R,FL,"time @potus stand freedom cuba. i, @gopleader, @marcorubio, @mariodb, @repcarlos,…","7/27/2021, 7:03:53 AM"
t_1420022048735309827,Kevin Cramer,R,ND,.@dagenmcdowell discussed path forward infrastructure @morningsmaria. neither side won enough el…,"7/27/2021, 7:03:33 AM"
t_1420022042699649043,Tina Smith,D,MN,@mlb must reverse decision commit making long term investments american workers. want…,"7/27/2021, 7:03:32 AM"
t_1420021947761561613,Daniel Kildee,D,MI,"rt @msnbc: ""even though overwhelming evidence contrary, including hours hours video photographic coverage, there'…","7/27/2021, 7:03:09 AM"
